sales_month,Channel,ticket_zone,orders,passengers,total_ticket_value,total_margin,fee_old_scheme,fee_new_scheme,fee_delta,fee_delta_pct_of_margin
2022-10,Other,<$262.50 (fee up),25,32,4213.29,96.93,0.0,0.0,0.0,0.0
2022-10,Other,$262.50-500 (about even),20,28,7572.74,59.61,0.0,0.0,0.0,0.0
2022-10,Other,>$500 (fee down),55,92,81244.05,4299.57,0.0,0.0,0.0,0.0
2022-11,Aeroprice,<$262.50 (fee up),1578,1985,193989.39,16949.6,7759.58,16569.0,8809.42,51.97
2022-11,Aeroprice,$262.50-500 (about even),635,929,235801.47,6550.83,9432.06,8971.34,-460.72,-7.03
2022-11,Aeroprice,>$500 (fee down),2018,3380,3337712.04,53059.24,48082.48,38342.0,-9740.48,-18.36
2022-11,Direct,<$262.50 (fee up),293,396,37666.37,1397.89,0.0,0.0,0.0,0.0
2022-11,Direct,$262.50-500 (about even),125,207,46475.72,1799.29,0.0,0.0,0.0,0.0
2022-11,Direct,>$500 (fee down),462,794,790248.29,23000.57,0.0,0.0,0.0,0.0
2022-11,Google Flights,<$262.50 (fee up),1178,1816,144954.59,511.92,0.0,0.0,0.0,0.0
2022-11,Google Flights,$262.50-500 (about even),525,786,201543.83,4731.89,0.0,0.0,0.0,0.0
2022-11,Google Flights,>$500 (fee down),2547,3760,3938483.59,85444.54,0.0,0.0,0.0,0.0
2022-11,Jetcost,<$262.50 (fee up),7,8,910.97,291.82,0.0,0.0,0.0,0.0
2022-11,Jetcost,$262.50-500 (about even),11,19,3887.16,133.28,0.0,0.0,0.0,0.0
2022-11,Jetcost,>$500 (fee down),14,26,17135.63,444.32,0.0,0.0,0.0,0.0
2022-11,Jetradar,<$262.50 (fee up),20,36,3588.44,83.94,0.0,0.0,0.0,0.0
2022-11,Jetradar,$262.50-500 (about even),18,28,6695.95,229.59,0.0,0.0,0.0,0.0
2022-11,Jetradar,>$500 (fee down),44,97,51346.39,1780.84,0.0,0.0,0.0,0.0
2022-11,Kayak Group,<$262.50 (fee up),6,12,1028.09,34.75,0.0,0.0,0.0,0.0
2022-11,Kayak Group,$262.50-500 (about even),54,62,20860.69,-407.01,0.0,0.0,0.0,-0.0
2022-11,Kayak Group,>$500 (fee down),587,947,1433511.85,13307.13,0.0,0.0,0.0,0.0
2022-11,Other,<$262.50 (fee up),13,14,1554.37,18.15,0.0,0.0,0.0,0.0
2022-11,Other,$262.50-500 (about even),9,14,3911.22,95.5,0.0,0.0,0.0,0.0
2022-11,Other,>$500 (fee down),39,68,53660.11,1914.8,0.0,0.0,0.0,0.0
2022-12,Aeroprice,<$262.50 (fee up),1383,1815,165911.41,16853.33,6636.46,14521.5,7885.04,46.79
2022-12,Aeroprice,$262.50-500 (about even),567,863,210234.65,7331.04,8409.39,8000.08,-409.3,-5.58
2022-12,Aeroprice,>$500 (fee down),1448,2537,2262814.92,35108.17,34517.15,27512.0,-7005.15,-19.95
2022-12,Direct,<$262.50 (fee up),320,436,38346.55,-14.93,0.0,0.0,0.0,-0.0
2022-12,Direct,$262.50-500 (about even),120,218,40942.24,1243.07,0.0,0.0,0.0,0.0
2022-12,Direct,>$500 (fee down),369,616,559294.22,15336.34,0.0,0.0,0.0,0.0
2022-12,Google Flights,<$262.50 (fee up),1043,1645,119521.18,121.21,0.0,0.0,0.0,0.0
2022-12,Google Flights,$262.50-500 (about even),412,616,157004.98,4395.65,0.0,0.0,0.0,0.0
2022-12,Google Flights,>$500 (fee down),1863,2673,2647981.63,53517.76,0.0,0.0,0.0,0.0
2022-12,Jetcost,<$262.50 (fee up),12,20,1806.51,129.94,0.0,0.0,0.0,0.0
2022-12,Jetcost,$262.50-500 (about even),15,29,5706.41,114.25,0.0,0.0,0.0,0.0
2022-12,Jetcost,>$500 (fee down),18,40,18365.12,888.66,0.0,0.0,0.0,0.0
2022-12,Jetradar,<$262.50 (fee up),37,53,6122.39,431.54,0.0,0.0,0.0,0.0
2022-12,Jetradar,$262.50-500 (about even),26,40,9386.74,157.94,0.0,0.0,0.0,0.0
2022-12,Jetradar,>$500 (fee down),34,75,35123.82,1502.03,0.0,0.0,0.0,0.0
2022-12,Kayak Group,<$262.50 (fee up),2,4,266.52,-35.81,0.0,0.0,0.0,-0.0
2022-12,Kayak Group,$262.50-500 (about even),45,49,17940.94,-378.12,0.0,0.0,0.0,-0.0
2022-12,Kayak Group,>$500 (fee down),424,796,1002180.77,14428.71,0.0,0.0,0.0,0.0
2022-12,Other,<$262.50 (fee up),14,15,2282.36,65.58,0.0,0.0,0.0,0.0
2022-12,Other,$262.50-500 (about even),5,5,1889.1,31.01,0.0,0.0,0.0,0.0
2022-12,Other,>$500 (fee down),48,82,75356.04,2038.22,0.0,0.0,0.0,0.0
